ID,Zona,Tran,L-Tran,Codigo,N,Den10,Den,Morpho_functional,Colony_morphology,key_sp
83,RF_2019,1,30,PAST,4,1,0.1,Massive,Mass/Sm-m,N/A
84,RF_2019,1,30,PDIV,3,1,0.1,Non-framework,Digit,N/A
85,RF_2019,1,30,PPOR,1,0,0,Foliose-digitiform,Digit,N/A
86,RF_2019,1,30,SSID,9,3,0.3,Massive,Mass/Sm-m,key_sp
87,RF_2019,1,30,AAGA,8,3,0.3,Foliose-digitiform,Sub-mass/encr,N/A
88,RF_2019,2,30,ACER,6,2,0.2,Frwk-Build branch,Branch,key_sp
89,RF_2019,2,30,AFRA,1,0,0,Foliose-digitiform,Foliose,N/A
90,RF_2019,2,30,MCAV,2,1,0.1,Massive,Mass/Sm-m,key_sp
91,RF_2019,2,30,MMEA,1,0,0,Massive,Mass/Sm-m,N/A
92,RF_2019,2,30,PAST,27,9,0.9,Massive,Mass/Sm-m,N/A
93,RF_2019,2,30,PPOR,15,5,0.5,Foliose-digitiform,Digit,N/A
94,RF_2019,2,30,PSTR,1,0,0,Massive,Mass/Sm-m,key_sp
95,RF_2019,2,30,SINT,1,0,0,Massive,Sub-mass/encr,N/A
96,RF_2019,2,30,SSID,12,4,0.4,Massive,Mass/Sm-m,key_sp
97,RF_2019,2,30,AAGA,5,2,0.2,Foliose-digitiform,Sub-mass/encr,N/A
98,RF_2019,3,30,AAGA,3,1,0.1,Foliose-digitiform,Sub-mass/encr,N/A
99,RF_2019,3,30,ACER,2,1,0.1,Frwk-Build branch,Branch,key_sp
100,RF_2019,3,30,PAST,16,5,0.5,Massive,Mass/Sm-m,N/A
101,RF_2019,3,30,PFUR,5,2,0.2,Non-framework,Digit,N/A
102,RF_2019,3,30,PPOR,9,3,0.3,Foliose-digitiform,Digit,N/A
103,RF_2019,3,30,SBOU,1,0,0,Non-framework,Mass/Sm-m,N/A
104,RF_2019,3,30,SSID,8,3,0.3,Massive,Mass/Sm-m,key_sp
105,HG_2019,1,30,MCAV,11,4,0.4,Massive,Mass/Sm-m,key_sp
106,HG_2019,1,30,MMEA,2,1,0.1,Massive,Mass/Sm-m,N/A
107,HG_2019,1,30,OFAV,2,1,0.1,Massive,Mass/Sm-m,key_sp
